video_id,title,likes,rank
d0WaiIGQI_A,Cellule Rouge (Nouvelle Aquitaine) -  Benjamin Leroy,174,77
ak7VnMRovWc,Primaire (Grand Est) - Lucie Le May,169,78
w4_H7lnDxHw,Revisité Ile-de-France) - Anne Gulino,166,79
Lgb9olWKkBg,Ride Enjoy (Pays de la Loire) - Léo Gentilhomme,165,80
XraF8z82sns,Océano'graff (Ile-de-France) - Ambre Vallet,164,81
eexQ8l-Cqgc,S W A G  Studio (Provence-Alpes-Côte d'Azur) -  Pauline Terestchenko,158,82
UftduLTv6mc,COMMUTATIO  (Ile-de-France)  -  Julie Paparin,150,83
85Ng9KHHQPo,Pâtatra (Hauts-de-France) - Erwan Goussot,150,83
mOqYITDsIFM,ZePowerNet (Grand Est) - Mamadou Misbaou Barry,149,85
93Y9MBzG_ck,Hnyn (Ile-de-France) - Heranne Excellent,148,86
efYFVr_MQ3M,DoctiCare  (Ile-de-France) - Nouhade LIEVRE,148,86
8kEFB72MSWM,Nylorac (Occitanie) - Marie Carolle Marcelin,145,88
KGjbhz-e5aA,Livract (Occitanie) - Thomas Bellon,145,88
uFlUhpDuFzw,A Moitié Plein (Ile-de-France) -  Loreleï Arduin,143,90
zXXvFS4S4UM,Cclean (Ile de France) - Cécilia KWAKWA,136,91
A8YgFHMxRtA,SOL ÉN (Ile-de-France) - Simon Pelissier,133,92
gH1OPXQ0uVA,Root (Hauts de France) - Aksil Bouyoucef,116,93
Xu3Kzk7DXHI,LiveIt (Occitanie) - Floriane Sivy,115,94
-k31rQQqZo0,Bosc & Londe (Normandie) - Augustin Tournyol du Clos,114,95
Ijk1GTFFYlg,EcoWander (Ile de France) - Raouia Sabihi,111,96
A59VUkvSZgw,Sign French West Indies (Outre Mer)  -  Géraldine Postdam,109,97
ORNGaFOrHTo,Maison Musa (Pays de la Loire) - Laurène Barrat,109,97
Cqelo17KW68,My kitchen (Ile-de-France) - Céline BUDAK,109,97
fmAEjSzgWBU,Drive Lady (Normandie) - Camille Cottard,107,100
24BhkYQelrA,Osez plus loin   (Ile-de-France)  -  Valentine Caro,104,101
HjeFeVdthJo,Unyra (Grand Est) - Yanis Jendoubi,100,102
ahsz2OoBvG0,Les Djeunz (Provence Alpes Côte d’Azur) - Johanna McCarthy,98,103
rBBRGy2PCsE,Maison Bousson (Auvergne Rhône Alpes) - Pauline Bousson,98,103
97g8J8DnDcU,Cloven (Ile-de-France) - Dina Gnichi,98,103
zer7Pdk9k1s,Green Stand up (Provence-Alpes-Côte d'Azur) - Yoann Le Blévennec,95,106
jbxvtw6Vd_4,Entrep Club (Provence-Alpes-Côte d'Azur) - Ugo Trouillet,94,107
73DQoGIP9Pw,REVREAMY (Hauts-de-France) - Angelo Yacana,92,108
yiXfmT5Tzq8,Be Toucan (Bourgogne Franche Comté) - Océane Danche,91,109
x7Rt99KC1Is,CleanWaves Technologies  (Grand Est)  - Clément SCHALCK  et  Axel MARCHAL,88,110
46bcVW1SmWk,Anim Alsace (Grand Est) -  Michel Six,87,111
K1I8QTB54m0,HappyDarons (Provence Alpes Côte d’Azur) - Tess Cevaer,87,111
MmaLpZc3Vc8,LoopS (Ile-de-France) - Margot Solari,84,113
CbxlKCKl9QA,Les Ingérables (Sud) - Alienor Simon Guschem,83,114
sIjO1zqzbRE,Nutrimentors (Ile-de-France) - Aurélie Jean Pierre,82,115
Gj-9kYo9kS8,Le panier durable  (Auvergne Rhône Alpes) -   Lomane BERRIET,78,116
gcH5-Es6JxA,FloR'alp (Auvergne Rhône Alpes) - Florianne Gerbelot,75,117
S7Qc4xWQWrM,ProtectHeat (Ile-de-France) - Ethane Kalifa,73,118
pPXjUb8cv9M,Telama  (Ile-de-France)   -  Princillia Bintsita,72,119
FH_oR6jelEw,Allergenius (Ile de France) - Antoine Barberin,71,120
mSziXZIgVKw,Kam e leon (Nouvelle Aquitaine) - Eden Rouvreau,71,120
kgh_g32Vdas,CALLVIUS (Ile-de-France) - Kabedi Mbujamba,68,122
I0a13hzust4,Anbizioa (Nouvelle Aquitaine) - Marine Durand,67,123
brl_VQCB2GU,Unimates (Grand Est) - Camille Beaubrun,66,124
86ujjmb68aA,Kalisae  ( Provence-Alpes-Côte d'Azur ) -  Isis Adugard,65,125
ucrFWOl-8NE,Maison Sahar (Ile de France) - Alexia Maghni,63,126
